"id","question","kind","possible_answers"
"M1_Q1","I keep shared promises even when inconvenient.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q2","I stick to plans and schedules I make.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q3","People describe me as reliable and on time.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q4","I can ignore minor annoyances to keep harmony.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q5","I speak up if something repeatedly bothers me.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q6","How do you prefer your home to feel?","bipolar","1-5 (1=Home as social hub, 5=Home as quiet retreat)"
"M1_Q7","How do you prefer to give and receive feedback?","bipolar","1-5 (1=Direct/concise feedback, 5=Cushioned/indirect feedback)"
"M1_Q8","I’m comfortable giving constructive feedback to housemates promptly.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q9","I usually apologize first to resolve tension.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q10","How should shared costs and responsibilities be divided?","bipolar","1-5 (1=Strict equality (exact splits), 5=Fairness (needs-based))"
"M1_Q11","I’m flexible about different ways of doing things at home.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q12","I prefer having written house rules that everyone can see (e.g., a chore chart).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q13","I’m energized by social activity at home after a long day.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q14","Tidy surroundings help me de-stress.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q15","I get anxious if plans change last-minute.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q16","I’d rather talk issues out than let them fade.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q17","I keep track of shared tasks without being asked.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
